עד תאריך	מתאריך	קובץ תמונה	תוכן3	תוכן2	תוכן1	כותרת
כ"ב תשרי	כ"ב תשרי	st.jpg	מתחילין לומר משיב הרוח ומוריד הגשם בתפילת מוסף של שמחת תורה, והזכרה זו אינה שאלה ובקשה על הגשם, אלא היא שבח להשם יתברך, ולכן הזכרה זו נקראת גבורות גשמים, אבל שאלת טל ומטר שבברכת השנים, היא בקשה מהשם יתברך על הגשם, וישנם כמה הבדלים בהלכה בין הזכרת גבורות גשמים שבברכת אתה גבור, לבין שאלת טל ומטר שבברכת השנים, והשינוי הראשון הוא, שמזכירין גבורות גשמים כבר מתפילת מוסף של שמחת תורה, ואילו שאלת גשמים אינה אלא מליל שבעה במרחשון (ז' במרחשון). מי שטעה במוסף או במנחה של שמחת תורה ולא הזכיר משיב הרוח ומוריד הגשם, אלא רק מוריד הטל, כדרכו בכל ימות הקיץ - אינו חוזר.	יש מקומות שנוהגים שכאשר יש ציבור גדול בבית הכנסת, וכולם רוצים לזכות לעלות לספר תורה ביום שמחת תורה, שמוציאים ספר תורה נוסף, ומלווים אותו יותר מעשרה אנשים מן הקהל לחדר אחר הסמוך לבית הכנסת, שיש שם תיבה, ועומד שם שליח ציבור נוסף, וקורא בתורה בפרשת וזאת הברכה, לכל אחד מן הקהל שבאו עם הספר תורה, (מלבד הקריאה בבית הכנסת), ומיד כשמסיימים הקריאה בספר תורה בחדר הסמוך לבית הכנסת מחזירים הספרי תורה להיכל של בית הכנסת. וזאת כדי לחסוך זמן, למנוע טורח ציבור, ולסיים במהרה את קריאת כל העולים לספר תורה. ומותר לטלטל הספר תורה לחדר האחר לצורך קריאה זו. [חזון עובדיה סוכות].	אחר התפילה מנהג ישראל להקיף שבע הקפות את התיבה, כשספר תורה מונח עליה, ובספרי תורה בידיהם. וכן נוהגים ביום שמחת תורה אחר התפילות. וששים ושמחים בשירות ותשבחות בשמחת התורה, בריקודים ובמחיאות כפים, ואפילו אם חל בשבת מותר. ואף על פי ששנינו במשנה (ביצה לו:) אין מרקדים ולא מטפחים (כף אל כף במחיאות כפים) ביום טוב קל וחומר בשבת, ואמרו בגמרא שם, שהוא משום גזרה שמא יתקן כלי שיר, אף על פי כן ביום שמחת תורה התירו חכמים ריקוד ומחיאות כפים לכבוד התורה - ומצוה נמי איכא. 	מענייני שמחת תורה – שמיני עצרת
כ"ג תשרי	כ"ג תשרי	hafets.jpg		אף על פי שהוא אמת, הרי זה מחריב את העולם. ויש עוון גדול מזה עד מאוד והוא לשון הרע והוא בכלל לאו זה. והוא המספר בגנות חברו אף על פי שאומר אמת. אבל האומר שקר נמצא מוציא שם רע על חברו.	מרגל בחברו עובר בלא תעשה שנאמר (ויקרא י"ט ט"ז) :"לא תלך רכיל בעמך". איזהו רכיל? זה שטוען דברים והולך מזה לזה ואומר : כך אמר פלוני עליך. וכך וכך שמעתי על פלוני שעשה לך.  	הלכות לשון הרע, פתיחה – לאוין, א
כ"ד תשרי	כ"ד תשרי	hafets.jpg			ועובר גם המספר או המקבל בלאו (שמות כ"ג א') של "לא תשא שמע שוא" וקרוי גם "לא תשיא", ואם כן לאו זה כולל את שניהם, המספר והמקבל.	הלכות לשון הרע, פתיחה – לאוין, ב
כ"ה תשרי	כ"ה תשרי	hafets.jpg			ועובר גם המספר במה שכתוב (דברים כ"ד ח'): השמר בנגע הצרעת לשמור מאוד ולעשות. ופרשו בספרא, שמה שכתבה התורה לשמור מאוד, הכוונה שלא לשכוח מליזהר בלשון הרע, שלא תבוא עליך הצרעת על ידי סיפור זה	הלכות לשון הרע, פתיחה – לאוין, ג
כ"ו תשרי	כ"ו תשרי	hafets.jpg	ועל כל פנים צריך להיזהר מחבורות כאלה, שלא לישב עמהם כי בשמים כולן נכתבין בשם חבורת רשע. כי כן מובא בצוואת רבי אליעזר הגדול שצוה להורקנוס בנו וזה לשונו: בני, אל תשב בחבורות האומרים גנאי מחבריהם, כי כשהדברים עולים למעלה – בספר נכתבין וכל העומדים שם נכתבין בשם חבורת רשע	 לא כן המקבל, ייתכן שאין עובר אלא רק אם הוא לבד, שאם לא היה מקשיב לא היה למספר למי לספר הלשון הרע. אבל אם יש שומעים אחרים, ייתכן שאין עובר על לאו זה אלא רק על שאר לאוין המפורשין בפתיחה זו. וכל זה אם בא לאחר תחילת הסיפור, אבל אם היה מתחילה, בוודאי עובר בכל האופנים כי על ידו התחיל האיסור.	עובר גם המספר והמקבל בלאו (ויקרא י"ט י"ד) "לפני עוור לא תתן מכשול". כי כל אחד נותן מכשול בפני חבירו, שיעבור על לאוין המפורשין בתורה. אך יש חלוק בזה בין המספר והמקבל בזה. שהמספר עובר בלאו בין היו השומעים מועטים או מרובים, ואדרבה ככל שיתרבו השומעים כן גודל הלאו.	הלכות לשון הרע, פתיחה – לאוין, ד
כ"ז תשרי	כ"ז תשרי	hafets.jpg	ובפרט אם בסיפור הזה של לשון הרע הוא מכבד את עצמו, בוודאי עובר בלאו זה. מלבד מה שכרתוהו ז"ל מעולם הבא ואמרו (ירושלמי פרק ב' הלכה א'): "המתכבד בקלון חברו- אין לו חלק לעולם הבא".	כי אילו היה מכיר את נגעי עצמו, לא היה מלעיג לחברו. וידוע מאמר חז"ל בסוטה (ד:) שעוון הגאווה קשה הוא עד מאוד, כמו שמובא שם שעבור זה אין עפרו ננער לתחיית המתים. והוא כעובד כוכבים ומזלות, ושכינה מיללת עליו, ונקרא תועבה.	ועובר גם המספר בלאו (דברים ח' י"א) "השמר לך פן תשכח את ה' אלוהיך" שהוא אזהרה לגסי הרוח. כי כיון שהוא מלעיג על חבירו, מן הסתם הוא מחשיב את עצמו לחכם ולאיש באנשים	הלכות לשון הרע, פתיחה – לאוין, ה
כ"ח תשרי	כ"ח תשרי	hafets.jpg			ועובר גם המספר והמקבל בלאו (ויקרא כ"ב ל"ב) "לא תחללו את שם קדשי". אחרי שאין בזה תאווה או הנאה גשמית, שעל ידי זה יתגבר יצרו עליו, על כן נחשב העוון הזה כמרד ופריקת עול מלכות שמים בעלמא. ומחלל שם שמים בזה. וכל זה אפי' בסתם איש ישראל. ובפרט אם הוא איש חשוב שהכול מסתכלים על מעשיו בוודאי מתחלל השם על ידי זה. ועל אחת כמה וכמה אם היה העברה הזאת ברבים, בוודאי שהחטא גדול עד מאוד שנקרא מחלל שם שמים ברבים.	הלכות לשון הרע, פתיחה – לאוין, ו
ל תשרי	כ"ט תשרי	hafets.jpg			ולפעמים עובר גם המספר בלאו של (ויקרא י"ט י"ז) "לא תשנא את אחיך בלבבך". כגון אם בפניו שלום ידבר את רעהו, ושלא בפניו מבאיש את ריחו בפני אחרים. ועל אחת כמה וכמה אם בפרוש מצווה להם, שלא ילכו ויודיעוהו וודאי עובר על לאו זה.	הלכות לשון הרע, פתיחה – לאוין, ז
א חשון	א חשון	hafets.jpg		לפעמים שהמספר עובר גם כן על לאו (ויקרא י"ט י"ח) של "לא תקום ולא תטור". כגון שיש לו שנאה עליו על דבר, שבקש ממנו לעשות לו טובה כגון הלוואה וכיוצא בזה, ולא היטיבו ועבור זה נוטר לו שנאה בליבו. וכשרואה אחר כך עליו דבר גנאי, מפרסמו בפנים אנשים	והוא עובר מתחילה על הנטירה בלב, על לאו "לא תטור". ואחר כך כשנוקם ממנו וסיפר עליו עבור זה הדברי גנות שראה עליו, עובר גם על לאו של "לא תקום". אלא צריך שימחה הדבר מליבו.	הלכות לשון הרע, פתיחה – לאוין, ח ט
ב חשון	ב חשון	hafets.jpg			ואם קם והעיד עליו לפני בית דין בדבר איסור ביחידי, כיון שאין יכול לבוא בזה שום תועלת בדבר ממון ושבועה ולא לענין לפסול את האיש הזה מחזקת כשרותו כיון שהוא עד אחד בדבר, אם כן שם רע בעלמא הוא מוציא עליו. ועובר על לאו של "לא יקום עד אחד באיש לכל עוון ולכל חטאת". וצריכין בית דין להלקותו עבור זה.	הלכות לשון הרע, פתיחה – לאוין, י
